Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
alt4.gmail-smtp-in.l.google.com,110,0,4485,362654,4485.0,362654.0
mx23.a.outbound.createsend.com,19,0,383,34589,383.0,34589.0
rsch-pn-snat05c-padc-vip.bankofamerica.com,4,0,0,0,0.0,0.0
143.1.99.103.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,6,0,0,0,0.0,0.0
alt3.aspmx.l.google.com,25,0,598,48241,598.0,48241.0
vision-institute.com,4,0,0,0,0.0,0.0
mail.41.175.informz.net,4,0,0,0,0.0,0.0
clips-media-assets2.twitch.tv,19,0,76405,7492417,76405.0,7492417.0
wittenacadianaroofing.com,190,0,0,0,0.0,0.0
mta.enews.nationwidechildrens.org,2,0,0,0,0.0,0.0
cnn1news-85-2.bm16.maas.zetaglobal.net,4,0,0,0,0.0,0.0
sf.bradfordexchange.com,2,0,0,0,0.0,0.0
194.155.200.94.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3,0,0,0,0.0,0.0
jewishphilanthropyct.org,29,0,0,0,0.0,0.0
congregationbnaiisrael.org,30,0,0,0,0.0,0.0
bushmasterexpert.com,248,0,0,0,0.0,0.0
press-princeton-edu.mail.protection.outlook.com,59,0,975,71255,975.0,71255.0
jewishberkshires.org,24,0,0,0,0.0,0.0
microsoft-com.mail.protection.outlook.com,80,0,218,16168,218.0,16168.0
132.246.99.139.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,58,0,0,0,0.0,0.0
48.69.155.218.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,8,0,0,0,0.0,0.0
mail-oln040092010062.outbound.protection.outlook.com,4,0,20,1667,20.0,1667.0
a2-114.smtp-out.eu-west-1.amazonses.com,10,0,86,7753,86.0,7753.0
3.debian.pool.ntp.org,37,0,0,0,0.0,0.0
mta20015.neimanmarcusemail.com,6,0,0,0,0.0,0.0
smtp-soi-g08-123.aweber.com,7,0,38,3289,38.0,3289.0
103.169.191.222.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1002,0,0,0,0.0,0.0
somersetpatriots.ccsend.com,15,0,0,0,0.0,0.0
fourthcornernurseries.com,13,0,0,0,0.0,0.0
alt2.gmail-smtp-in.l.google.com,132,0,17338,1350024,17338.0,1350024.0
mta04.mx1.dunhillvacations.com,6,0,0,0,0.0,0.0
cbrownproperties.com,1,0,0,0,0.0,0.0
outbound102.globalsuccesssolution.co,2,0,0,0,0.0,0.0
208.247.111.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,175,0,0,0,0.0,0.0
msv4.telemetry-investments.com,3,0,146,11587,146.0,11587.0
a3-8.smtp-out.eu-west-1.amazonses.com,18,0,89,8059,89.0,8059.0
msv3.telemetry-investments.com,3,0,152,12027,152.0,12027.0
pdom07.pu.win.princeton.edu,122,0,0,0,0.0,0.0
bayexecutivesearch.com,2,0,0,0,0.0,0.0
elevatedsanctuary.com,201,0,0,0,0.0,0.0
